id;codigo;nome;endereco;cidade;uf;bairro;rede;vendedor;loja;reigao;latitude;longitude;created_at
;82;G. Barbosa Francisco Porto ;;Aracaju;SE;;G Barbosa;Vinicius;61;;;;
;82;G. Barbosa Rio Mar ;;Aracaju;SE;;G Barbosa;Vinicius;53;;;;
;82;Gbarbosa Alagoinhas ;;Alagoinhas;BA;;G Barbosa;Vinicius;23;;;;
;82;Gbarbosa Alagoinhas ;;Alagoinhas;BA;;G Barbosa;Vinicius;22;;;;
;82;Gbarbosa Brotas ;;Salvador;BA;;G Barbosa;Vinicius;29;;;;
;82;Gbarbosa Cabula ;;Salvador;BA;;G Barbosa;Vinicius;47;;;;
;82;Gbarbosa Camacari ;;Camacari;BA;;G Barbosa;Vinicius;86;;;;
;82;Gbarbosa Cd Bahia ;;Simoes Filho;BA;;G Barbosa;Vinicius;85;;;;
;82;Gbarbosa Cd N. S. do Socorro II;;Nossa Senhora Do Socorro;SE;;G Barbosa;Vinicius;87;;;;
;82;Gbarbosa Cd N. S.do Socorro I;;Nossa Senhora Do Socorro;SE;;G Barbosa;Vinicius;84;;;;
;82;Gbarbosa Costa Azul ;;Salvador;BA;;G Barbosa;Vinicius;9;;;;
;82;Gbarbosa Feira De Santana I;;Feira De Santana;BA;;G Barbosa;Vinicius;15;;;;
;82;Gbarbosa Feira De Santana II;;Feira De Santana;BA;;G Barbosa;Vinicius;16;;;;
;82;Gbarbosa Feira De Santana III;;Feira De Santana;BA;;G Barbosa;Vinicius;17;;;;
;82;Gbarbosa Guarajuba ;;Camacari;BA;;G Barbosa;Vinicius;48;;;;
;82;Gbarbosa Hiper Sul ;;Aracaju;SE;;G Barbosa;Vinicius;70;;;;
;82;Gbarbosa Horto Bela Vista ;;Salvador;BA;;G Barbosa;Vinicius;49;;;;
;82;Gbarbosa Iguatemi ;;Salvador;BA;;G Barbosa;Vinicius;8;;;;
;82;Gbarbosa Jardins ;;Aracaju;SE;;G Barbosa;Vinicius;68;;;;
;82;Gbarbosa Juazeiro Centro ;;Juazeiro;BA;;G Barbosa;Antonio;37;;;;
;82;Gbarbosa Juazeiro Santo Antonio ;;Juazeiro;BA;;G Barbosa;Antonio;33;;;;
;82;Gbarbosa Lauro De Freitas ;;Lauro De Freitas;BA;;G Barbosa;Vinicius;11;;;;
;82;Gbarbosa Luzia ;;Aracaju;SE;;G Barbosa;Vinicius;73;;;;
;82;Gbarbosa Marcos Freire N. Socorro;;Nossa Senhora Do Socorro;SE;;G Barbosa;Vinicius;82;;;;
;82;Gbarbosa Sao Cristovao;;Sao Cristovao;SE;;G Barbosa;Vinicius;74;;;;
;82;Gbarbosa Sobradinho Feira;;Feira De Santana;BA;;G Barbosa;Vinicius;25;;;;
;82;Gbarbosa Tomba Feira;;Feira De Santana;BA;;G Barbosa;Vinicius;26;;;;
;82;Gbarbosa Vitoria Da Conquista I;;Vitoria Da Conquista;BA;;G Barbosa;Vinicius;39;;;;
;82;Gbarbosa Vitoria Da Conquista II;;Vitoria Da Conquista;BA;;G Barbosa;Vinicius;30;;;;
;4582;Hiper Carne Jabotiana ;;Aracaju;SE;;Hipercarnes;Vinicius;1;;;;
;4130;Hiper Carnes Barra ;;Barra Dos Coqueiros;SE;;Hipercarnes;Vinicius;1;;;;
;2613;Hiper Ideal Cd ;;Salvador;BA;;Hiperideal;Ricardo Santos;24;;;;
;2613;Hiperideal Alphaville ;;Salvador;BA;;Hiperideal;Ricardo Santos;32;;;;
;2613;Hiperideal Amazonas ;;Salvador;BA;;Hiperideal;Ricardo Santos;27;;;;
;2613;Hiperideal Armacao ;;Salvador;BA;;Hiperideal;Ricardo Santos;2;;;;
;2613;Hiperideal Buraquinho ;;Lauro De Freitas;BA;;Hiperideal;Ricardo Santos;8;;;;
;2613;Hiperideal Caminho Das Arvores ;;Salvador;BA;;Hiperideal;Ricardo Santos;25;;;;
;2613;Hiperideal Feira De Santana ;;Feira De Santana;BA;;Hiperideal;Ricardo Santos;31;;;;
;2613;Hiperideal Jardins Acm ;;Salvador;BA;;Hiperideal;Ricardo Santos;30;;;;
;2613;Hiperideal Orla ;;Salvador;BA;;Hiperideal;Ricardo Santos;28;;;;
;2613;Hiperideal Parque Shopping ;;Lauro De Freitas;BA;;Hiperideal;Ricardo Santos;21;;;;
;2613;Hiperideal Piata Orlando Gomes ;;Salvador;BA;;Hiperideal;Ricardo Santos;19;;;;
;2613;Hiperideal Piata Otavio Mangabeira ;;Salvador;BA;;Hiperideal;Ricardo Santos;7;;;;
;2613;Hiperideal Praia Do Forte ;;Mata De Sao Joao;BA;;Hiperideal;Ricardo Santos;3;;;;
;2613;Hiperideal Vasco Da Gama ;;Salvador;BA;;Hiperideal;Ricardo Santos;29;;;;
;2613;Hiperideal Vitoria ;;Salvador;BA;;Hiperideal;Ricardo Santos;4;;;;
;2613;Serrana Canela ;;Salvador;BA;;Hiperideal;Ricardo Santos;26;;;;
;2613;Serrana Graca ;;Salvador;BA;;Hiperideal;Ricardo Santos;10;;;;
;2613;Serrana Guarajuba Monte Gordo ;;Camacari;BA;;Hiperideal;Ricardo Santos;22;;;;
;2613;Serrana Itaigara ;;Salvador;BA;;Hiperideal;Ricardo Santos;16;;;;
;2613;Serrana Jardim Apipema ;;Salvador;BA;;Hiperideal;Ricardo Santos;17;;;;
;2613;Serrana Patamares ;;Salvador;BA;;Hiperideal;Ricardo Santos;23;;;;
;2613;Serrana Patamares ;;Salvador;BA;;Hiperideal;Ricardo Santos;13;;;;
;2613;Serrana Pituba ;;Salvador;BA;;Hiperideal;Ricardo Santos;12;;;;
;2613;Serrana Pituba ;;Salvador;BA;;Hiperideal;Ricardo Santos;18;;;;
;2613;Serrana Praia Do Forte ;;Mata De Sao Joao;BA;;Hiperideal;Ricardo Santos;14;;;;
;2613;Serrana Stella Maris ;;Salvador;BA;;Hiperideal;Ricardo Santos;5;;;;
;2613;Serrana Stella Maris Ii ;;Salvador;BA;;Hiperideal;Ricardo Santos;6;;;;
;2613;Serrana Tororo ;;Salvador;BA;;Hiperideal;Ricardo Santos;9;;;;
;2613;Serrana Vila Laura ;;Salvador;BA;;Hiperideal;Ricardo Santos;15;;;;
;2613;SerranaBarra ;;Salvador;BA;;Hiperideal;Ricardo Santos;11;;;;
;2652;Massimo Barra ;;Barra Dos Coqueiros;SE;;Massimo;Vinicius;3;;;;
;2652;Massimo Farolandia ;;Aracaju;SE;;Massimo;Vinicius;2;;;;
;2652;Massimo Luzia ;;Aracaju;SE;;Massimo;Vinicius;1;;;;
;2459;Mateus Aracaju Santa Monica;;Aracaju;SE;;Mateus;Ricardo Santos;D5;;;;
;1456;Mateus Cd Feira De Santana;;Sao Goncalo Dos Campos;BA;;Mateus;Ricardo Santos;12;;;;
;2459;Mateus Conceicao Do Coite ;;Conceicao Do Coite;BA;;Mateus;Antonio;53;;;;
;2459;Mateus Eunapolis ;;Eunapolis;BA;;Mateus;Ricardo Santos;97;;;;
;2459;Mateus Itabuna ;;Itabuna;BA;;Mateus;Ricardo Santos;98;;;;
;2459;Mateus Jacobina ;;Jacobina;BA;;Mateus;Antonio;34;;;;
;2459;Mateus Jose Conrado De Araujo ;;Aracaju;SE;;Mateus;Ricardo Santos;42;;;;
;2459;Mateus Juazeiro ;;Juazeiro;BA;;Mateus;Antonio;41;;;;
;2459;Mateus N. S. da Gloria ;;Nossa Senhora Da Gloria;SE;;Mateus;Ricardo Santos;96;;;;
;2459;Mateus Petrolina ;;Petrolina;PE;;Mateus;Antonio;33;;;;
;2459;Mateus Porto Seguro ;;Porto Seguro;BA;;Mateus;Ricardo Santos;51;;;;
;2459;Mateus Sao Cristovao SSA;;Salvador;BA;;Mateus;Ricardo Santos;E2;;;;
;2459;Mateus Teixeira De Freitas ;;Teixeira De Freitas;BA;;Mateus;Ricardo Santos;52;;;;
;2459;Mateus Vitoria Da Conquista ;;Vitoria Da Conquista;BA;;Mateus;Ricardo Santos;49;;;;
;2459;Mateus Ilheus;;Ilheus;BA;;Mateus;Ricardo Santos;D7;;;;
;5081;Mercadinho Econ. Jardim Petrolina;;Petrolina;PE;;Mercadinho Economico;Antonio;1;;;;
;5079;Mercadinho Econ. Juazeiro;;Juazeiro;BA;;Mercadinho Economico;Antonio;2;;;;
;5079;Mercadinho Econ. Petrolina;;Petrolina;PE;;Mercadinho Economico;Antonio;1;;;;
;5080;Mercadinho Econ. Quati Petrolina;;Petrolina;PE;;Mercadinho Economico;Antonio;1;;;;
;4469;Multi Frios Juazeiro ;;Juazeiro;BA;;Multi Frios;Antonio;1;;;;
;4469;Multi Frios Petrolina ;;Petrolina;PE;;Multi Frios;Antonio;2;;;;
;6006;Armazem Cecilio Mota Jacobina;;Jacobina;BA;;Outros;Antonio;1;;;;
;4290;Bontempo Petrolina ;;Petrolina;PE;;Outros;Antonio;1;;;;
;6007;Caravelas Comercial Feira;;Feira De Santana;BA;;Outros;Nixon;1;;;;
;4585;CD Brasil Capim Grosso;;Capim Grosso;BA;;Outros;Antonio;1;;;;
;218;Deli E Cia Graca ;;Salvador;BA;;Outros;Ricardo Santos;1;;;;
;4640;Eko Express Aracaju;;Aracaju;SE;;Outros;Vinicius;1;;;;
;6123;Exito Supermercado Lagarto;;Lagarto;SE;;Outros;Vinicius;1;;;;
;4236;Flor Da Chapada Itaberaba;;Itaberaba;BA;;Outros;Ricardo Santos;1;;;;
;259;Frutos Da Terra Petrolina;;Petrolina;PE;;Outros;Antonio;1;;;;
;1824;Gral Panificacao ;;Salvador;BA;;Outros;Ricardo Santos;1;;;;
;2821;Gran Hortifruti ;;Salvador;BA;;Outros;Ricardo Santos;1;;;;
;4586;Ki Distribuidora N. S. Gloria ;;Nossa Senhora Da Gloria;SE;;Outros;Vinicius;1;;;;
;4561;Le Delis ;;Salvador;BA;;Outros;Nixon;1;;;;
